,SO2,CO,PM10,NO2,O3,PM2.5
2022-12-14 20:00:00,20.7,570.52,41.175,16.945,14.26,35.66
2022-12-14 21:00:00,22.562,536.5,38.123,16.579,13.397,32.628
2022-12-14 22:00:00,31.75,581.02,18.42,48.32,15.78,17.58
2022-12-14 23:00:00,14.475,562.44,20.645,20.725,16.905,19.695
2022-12-15 00:00:00,16.5090909090909,796.077272727273,36.6059090909091,28.6586363636364,31.0436363636364,32.3972727272727
2022-12-15 01:00:00,15.315,700.03,39.5381818181818,31.4886363636364,27.1781818181818,34.3740909090909
2022-12-15 02:00:00,15.133,617.3345,38.002,30.3605,22.6065,33.482
2022-12-15 03:00:00,16.875,610.84,48.0490909090909,39.225,9.11136363636364,40.0481818181818
2022-12-15 04:00:00,14.553,448.527666666667,32.0363333333333,26.4913333333333,16.665,29.056
2022-12-15 05:00:00,11.8478048780488,370.130731707317,24.0380487804878,21.7685365853659,19.189512195122,22.8756097560976
2022-12-15 06:00:00,10.0296296296296,375.471481481482,25.8759259259259,19.4051851851852,21.8962962962963,24.4014814814815
2022-12-15 07:00:00,9.23136363636364,384.449545454545,30.2731818181818,20.8772727272727,23.3754545454546,28.1740909090909
2022-12-15 08:00:00,12.9819047619048,461.522619047619,41.8566666666667,24.3314285714286,20.965,35.7952380952381
2022-12-15 09:00:00,13.6313513513514,447.54972972973,41.8816216216216,21.565945945946,20.7210810810811,35.7637837837838
2022-12-15 10:00:00,10.7631818181818,402.779090909091,37.2272727272727,23.1240909090909,21.1731818181818,33.1481818181818
2022-12-15 11:00:00,12.5703703703704,395.695555555556,46.8022222222222,23.5981481481482,20.0166666666667,39.1474074074074
2022-12-15 12:00:00,16.9074193548387,415.282903225806,42.2845161290323,19.4961290322581,16.3929032258065,35.9806451612903
2022-12-15 13:00:00,21.6022727272727,481.99,51.3313636363636,16.0959090909091,11.9645454545455,42.525
2022-12-15 14:00:00,14.93,501.82380952381,43.4371428571429,11.5938095238095,22.1166666666667,36.8804761904762
2022-12-15 15:00:00,12.084,570.043333333333,49.6313333333333,17.1093333333333,28.144,41.257
2022-12-15 16:00:00,13.7603846153846,564.511538461538,50.4492307692308,9.27961538461539,31.3,42.0611538461538
2022-12-15 17:00:00,14.149,569.1605,42.4155,0.353,35.518,36.5355
2022-12-15 18:00:00,17.0952173913044,629.548260869565,39.2982608695652,8.43956521739131,33.4630434782609,34.0613043478261
2022-12-15 19:00:00,19.4748,595.292,32.5472,7.1972,31.2968,30.4532
2022-12-15 20:00:00,17.4254545454545,613.616363636364,30.8240909090909,9.53863636363636,36.1,28.9709090909091
2022-12-15 21:00:00,20.9040909090909,592.395909090909,27.7395454545455,8.89,35.5831818181818,26.5254545454546
2022-12-15 22:00:00,18.142,603.9115,27.747,17.869,36.1735,26.2185
2022-12-15 23:00:00,19.3338095238095,655.141428571429,40.2133333333333,29.8380952380952,30.4204761904762,35.2838095238095
2022-12-16 00:00:00,22.505,715.583181818182,54.6327272727273,36.5777272727273,21.9304545454546,45.7
2022-12-16 01:00:00,18.6685,583.0545,42.416,32.221,20.3085,36.495
2022-12-16 02:00:00,16.3038095238095,521.120952380952,35.7252380952381,30.4195238095238,17.2595238095238,31.942380952381
2022-12-16 03:00:00,15.0277272727273,421.177727272727,34.8522727272727,26.485,21.8236363636364,31.0963636363636
2022-12-16 04:00:00,9.76035714285714,355.037142857143,20.0764285714286,23.3389285714286,22.855,18.9692857142857
2022-12-16 05:00:00,8.66651162790698,337.184418604651,18.5493023255814,22.2383720930233,22.3258139534884,17.4211627906977
2022-12-16 06:00:00,8.105,305.185625,16.9728125,21.2865625,23.2396875,15.975625
2022-12-16 07:00:00,7.20181818181818,288.789545454546,13.5054545454545,23.6213636363636,22.4981818181818,12.7195454545455
2022-12-16 08:00:00,7.66717948717949,289.495641025641,13.828717948718,24.404358974359,22.8669230769231,13.2241025641026
2022-12-16 09:00:00,7.91225,303.7685,23.337,23.16675,21.87025,21.99425
2022-12-16 10:00:00,9.3747619047619,320.622857142857,30.2866666666667,23.7333333333333,21.3076190476191,28.5957142857143
2022-12-16 11:00:00,9.61607142857143,325.259642857143,28.5110714285714,23.8478571428571,20.3714285714286,26.7889285714286
2022-12-16 12:00:00,13.8985294117647,328.822352941177,24.9652941176471,19.3285294117647,16.1197058823529,23.6908823529412
2022-12-16 13:00:00,13.8442307692308,311.512692307692,21.3507692307692,14.775,15.6046153846154,20.5042307692308
2022-12-16 14:00:00,13.3195238095238,316.404761904762,23.3238095238095,11.2276190476191,15.7190476190476,21.7304761904762
2022-12-16 15:00:00,16.2637931034483,441.894137931034,51.5965517241379,15.431724137931,20.4013793103448,45.7041379310345
2022-12-16 16:00:00,15.9320689655172,368.846206896552,30.9896551724138,9.72034482758621,18.3096551724138,28.3834482758621
2022-12-16 17:00:00,14.984347826087,397.77,32.474347826087,1.20782608695652,25.384347826087,29.4626086956522
2022-12-16 18:00:00,15.1570833333333,391.983333333333,23.9708333333333,0.0304166666666667,33.05125,22.6554166666667
2022-12-16 19:00:00,17.2151851851852,390.991111111111,20.172962962963,0.343333333333333,31.6655555555556,19.2977777777778
2022-12-16 20:00:00,17.1203846153846,445.576153846154,19.4134615384615,8.30076923076923,36.7396153846154,18.5119230769231
2022-12-16 21:00:00,16.3413043478261,464.675217391304,17.5917391304348,11.6986956521739,35.5808695652174,16.8404347826087
2022-12-16 22:00:00,12.7588461538462,470.215384615385,18.1603846153846,19.4473076923077,35.5342307692308,17.4242307692308
